STATIONS_ID,MESS_DATUM,QUALITAETS_NIVEAU,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
433,1948-04-27,5,6.3,60.00,8.1,12.4,1016.10,-999,4.4,5.4,16.7,-999,0,.0,-999,0
433,1948-04-28,5,3.7,48.00,8.6,16.8,1000.40,-999,8.8,11.2,22.2,-999,1,.0,-999,0
433,1948-04-29,5,6.0,58.00,9.3,13.7,995.20,-999,8.3,12.0,20.4,-999,0,.0,-999,0
433,1948-04-30,5,6.7,70.00,10.7,13.4,989.30,-999,6.0,8.5,20.5,-999,1,.0,-999,0
433,1948-05-01,5,5.3,66.00,7.8,9.8,997.30,-999,5.0,6.6,13.8,-999,1,7.9,-999,0
433,1948-05-02,5,6.7,61.00,9.1,13.4,998.90,-999,2.5,6.0,17.7,-999,0,.0,-999,0
433,1948-05-03,5,8.0,62.00,9.6,12.4,1000.50,-999,6.0,9.2,19.0,-999,0,.0,-999,0
433,1948-05-04,5,6.3,60.00,8.2,12.0,1010.60,-999,6.5,7.5,17.0,-999,1,.0,-999,0
433,1948-05-05,5,7.0,76.00,13.8,16.2,1009.50,-999,7.5,9.5,20.8,-999,1,8.6,-999,0
433,1948-05-06,5,3.3,66.00,13.6,18.2,1013.20,-999,10.0,12.3,25.2,-999,0,.0,-999,0
433,1948-05-07,5,3.3,68.00,13.4,17.6,1018.80,-999,9.6,12.7,22.4,-999,1,1.1,-999,0
433,1948-05-08,5,7.3,75.00,13.9,16.4,1017.90,-999,8.6,10.1,22.5,-999,1,2.6,-999,0
433,1948-05-09,5,6.0,57.00,13.3,20.8,1012.00,-999,11.7,13.5,26.1,-999,1,1.2,-999,0
433,1948-05-10,5,4.0,42.00,10.0,20.8,1006.60,-999,13.3,15.8,25.0,-999,0,.0,-999,0
433,1948-05-11,5,5.0,60.00,14.1,19.6,1000.50,-999,11.5,14.1,27.2,-999,0,.0,-999,0
433,1948-05-12,5,4.0,68.00,15.3,19.7,1005.70,-999,12.0,14.5,24.3,-999,1,.6,-999,0
433,1948-05-13,5,4.7,69.00,14.9,18.1,1010.60,-999,12.1,15.3,24.6,-999,0,.0,-999,0
433,1948-05-14,5,2.7,67.00,12.1,16.4,1017.90,-999,10.4,10.7,21.9,-999,0,.0,-999,0
433,1948-05-15,5,.3,61.00,12.1,17.9,1020.60,-999,8.5,11.5,23.0,-999,0,.0,-999,0
433,1948-05-16,5,1.7,50.00,9.9,18.0,1019.90,-999,10.4,12.8,22.5,-999,0,.0,-999,0
433,1948-05-17,5,2.0,43.00,8.5,16.8,1019.00,-999,8.8,11.6,22.3,-999,0,.0,-999,0
433,1948-05-18,5,1.3,48.00,7.3,13.4,1018.80,-999,6.6,8.8,18.0,-999,0,.0,-999,0
433,1948-05-19,5,5.3,57.00,8.0,12.8,1011.50,-999,5.0,7.0,18.2,-999,0,.0,-999,0
433,1948-05-20,5,6.3,67.00,9.4,12.3,1005.10,-999,8.6,8.6,17.0,-999,1,1.0,-999,0
433,1948-05-21,5,6.3,66.00,7.6,9.8,1006.90,-999,4.0,5.5,12.5,-999,1,1.2,-999,0
433,1948-05-22,5,4.3,54.00,8.0,13.2,1005.20,-999,6.5,4.9,18.8,-999,1,2.3,-999,0
